"wielkosc","iloczyn_skalarny","mnozenie_macierzy"
66,2.4e-6,4.78e-5
67,8.999e-6,7.4701e-5
67,1.299e-6,5.06e-5
67,1.201e-6,5.38e-5
67,9.6e-6,5.1399e-5
67,1.2e-6,0.0003237
67,1.2e-6,5.42e-5
67,5.101e-6,5.59e-5
67,1.199e-6,5.32e-5
67,1.1e-6,5.48e-5
67,1.101e-6,5.03e-5
68,8.001e-6,0.000110101
68,1.3e-6,0.0003722
68,1.2e-6,6.63e-5
68,5.4e-6,6.45e-5
68,1.2e-6,5.35e-5
68,1.2e-6,6.21e-5
68,9.6e-6,6.2e-5
68,1.3e-6,5.88e-5
68,1.2e-6,0.000314801
68,2.1e-6,6.1401e-5
69,4.5e-6,6.81e-5
69,5.3e-6,6.43e-5
69,1.2e-6,5.74e-5
69,1.2e-6,6.7901e-5
69,1.2e-6,5.31e-5
69,1.201e-6,0.000269699
69,1.199e-6,6.6501e-5
69,1.201e-6,5.29e-5
69,2.4e-6,6.75e-5
69,1.301e-6,5.8501e-5
70,3.499e-6,7.21e-5
70,1.8e-6,0.0002848
70,1.701e-6,8.3899e-5
70,1.199e-6,5.58e-5
70,1.5e-6,9.9501e-5
70,4.8e-6,5.8899e-5
70,1.201e-6,6.41e-5
70,1.3e-6,5.85e-5
70,1.199e-6,0.000264299
70,1.801e-6,7.3801e-5
71,3.901e-6,8.7101e-5
71,1.9e-6,5.95e-5
71,4.599e-6,6.66e-5
71,1.301e-6,6.21e-5
71,1.201e-6,0.0002762
71,1.199e-6,7.12e-5
71,1.2e-6,5.95e-5
71,1.4e-6,6.7601e-5
71,1.2e-6,5.92e-5
71,3.099e-6,6.45e-5
72,3.9e-6,0.000282699
72,1.999e-6,6.9301e-5
72,1.301e-6,6.64e-5
72,1.5e-6,6.24e-5
72,1.301e-6,6.7199e-5
72,1.301e-6,6.26e-5
72,4.6e-6,0.0002771
72,1.299e-6,7.41e-5
72,1.4e-6,6.0401e-5
72,1.501e-6,6.82e-5
73,4.3e-6,7.6e-5
73,2.099e-6,6.3e-5
73,1.4e-6,0.0002755
73,5.101e-6,7.23e-5
73,1.3e-6,6.81e-5
73,1.299e-6,6.27e-5
73,1.299e-6,6.0899e-5
73,1.299e-6,6.1401e-5
73,1.4e-6,0.0002701
73,1.4e-6,6.4e-5
74,6.901e-6,0.0001062
74,1.5e-6,6.6501e-5
74,1.3e-6,8.41e-5
74,1.8e-6,9.64e-5
74,1.5e-6,0.000290799
74,1.3e-6,7.05e-5
74,1.299e-6,8.63e-5
74,3.1e-6,8.54e-5
74,1.4e-6,9.01e-5
74,1.4e-6,0.000108
75,3.9e-6,0.0003195
75,1.5e-6,7.6901e-5
75,1.4e-6,7.2301e-5
75,1.5e-6,7.3399e-5
75,4.601e-6,8.6399e-5
75,1.301e-6,0.0003427
75,1.8e-6,7.58e-5
75,1.5e-6,0.000129599
75,1.4e-6,0.000172101
75,1.4e-6,0.0001337
76,7.101e-6,7.1899e-5
76,1.4e-6,0.0002781
76,1.301e-6,7.93e-5
76,1.301e-6,6.7099e-5
76,1.3e-6,6.7101e-5
76,2.0e-6,6.65e-5
76,1.4e-6,0.0002755
76,2.5e-6,6.6199e-5
76,1.4e-6,6.5701e-5
76,1.5e-6,6.7999e-5
77,3.599e-6,7.5601e-5
77,1.701e-6,6.83e-5
77,1.401e-6,0.000272301
77,6.299e-6,7.7001e-5
77,1.399e-6,7.2499e-5
77,1.4e-6,6.8201e-5
77,1.501e-6,7.4001e-5
77,1.31e-5,0.000273899
77,1.4e-6,7.4e-5
77,1.4e-6,7.1599e-5
78,1.1799e-5,7.6701e-5
78,1.4e-6,6.9601e-5
78,1.4e-6,0.000272301
78,2.3e-6,7.84e-5
78,1.399e-6,6.88e-5
78,2.201e-6,7.32e-5
78,2.499e-6,7.2299e-5
78,1.399e-6,7.07e-5
78,9.701e-6,0.0002724
78,1.4e-6,7.31e-5
79,3.9e-6,0.000103999
79,5.7e-6,8.25e-5
79,1.5e-6,8.83e-5
79,4.7e-6,0.000335099
79,2.2e-6,0.000116801
79,1.4e-6,0.0001208
79,2.3e-6,8.72e-5
79,1.399e-6,9.8599e-5
79,1.4e-6,0.0003182
79,1.2299e-5,0.000128601
80,3.7e-6,8.89e-5
80,1.5e-6,7.25e-5
80,5.999e-6,7.4e-5
80,1.5e-6,0.000282199
80,1.501e-6,8.17e-5
80,5.3e-6,7.1999e-5
80,1.4e-6,7.5901e-5
80,3.199e-6,7.2199e-5
80,1.399e-6,0.0002678
80,1.4e-6,8.02e-5
81,1.54e-5,0.0001334
81,1.5e-6,7.45e-5
81,4.899e-6,9.61e-5
81,2.3e-6,0.000323599
81,1.401e-6,0.000104999
81,1.4e-6,9.05e-5
81,2.201e-6,7.7e-5
81,1.4e-6,0.00035
81,4.8e-6,0.000107601
81,1.4e-6,0.0001179
82,4.3e-6,8.5201e-5
82,1.59e-5,7.9399e-5
82,1.499e-6,0.0002776
82,1.5e-6,8.89e-5
82,6.001e-6,7.88e-5
82,1.4e-6,7.4799e-5
82,1.5e-6,7.6799e-5
82,2.3e-6,0.000273401
82,1.401e-6,8.47e-5
82,2.301e-6,7.93e-5
83,6.7e-6,8.63e-5
83,6.7e-6,8.22e-5
83,1.5e-6,0.000293901
83,1.601e-6,7.97e-5
83,1.02e-5,8.79e-5
83,1.499e-6,8.13e-5
83,3.7e-6,0.0002905
83,1.5e-6,9.02e-5
83,1.501e-6,8.17e-5
83,2.4e-6,7.82e-5
84,3.7e-6,8.8301e-5
84,6.4e-6,0.000323899
84,4.7e-6,8.55e-5
84,1.499e-6,8.28e-5
84,1.1101e-5,8.22e-5
84,1.5e-6,0.0003
84,2.3e-6,9.2299e-5
84,1.5e-6,8.07e-5
84,3.4e-6,8.1101e-5
84,2.3e-6,8.0799e-5
85,4.501e-6,0.0003383
85,7.1e-6,0.0001006
85,1.5e-6,8.74e-5
85,1.5e-6,8.7e-5
85,1.43e-5,0.0003094
85,1.5e-6,9.16e-5
85,2.4e-6,8.6199e-5
85,1.6e-6,8.3999e-5
85,1.499e-6,0.000311901
85,2.701e-6,0.000137801
86,6.799e-6,0.000100599
86,5.901e-6,9.23e-5
86,1.5e-6,0.000100999
86,1.599e-6,0.0004731
86,9.801e-6,0.000103801
86,1.499e-6,8.45e-5
86,4.4e-6,8.64e-5
